,midi_name,key_signature,harmonic_reduction
0,070527 (Oh for a Poet).MID,C major,"['-', 'I6', 'V42', 'I6', 'vii6', 'I6', 'I53', 'v43', 'I64', 'vii65', 'i', 'I53', 'V65', 'I53', 'V7', 'I64', 'I53', 'V65', 'V', 'I53', 'V', 'i', 'vii', 'ii7', 'i', 'i', 'IV53', 'V7', 'ii53', 'I6', 'IV53', 'I53', 'vii53', 'V7', 'V7', 'vi65', 'i', 'I53', 'v43', 'I64', 'vii65', 'i', 'I53', 'V65', 'I53', 'V7', 'I64', 'I53', 'V65', 'V', 'I53', 'V', 'i', 'vii', 'ii7', 'i', 'i', 'IV53', 'V7', 'ii53', 'I6', 'IV53', 'I53', 'vii53', 'V7', 'V7', 'vi65', 'i']"
1,070110 (The Raven Days).MID,G major,"['-', '-', 'I64', 'V53', 'I64', 'vii', 'vi53', 'ii64', 'V53', 'i', 'IV42', 'I53', 'V64', 'I53', 'V6', 'vi53', 'ii64', 'V53', 'iv43', 'I', 'I', 'V64', 'I53', 'V6', 'vi53', 'ii64', 'V53', 'iv43', 'i', 'V53', 'I53', 'V7', 'iii53', 'vi7', 'v7', 'I64', 'V7', 'vi53', 'ii64', 'V53', 'IV53', '-VI', '-vi', '-vii', 'I', 'I53', 'IV42', 'I53', 'V64', 'I53', 'V6', 'vi53', 'ii64', 'V53', 'iv43', 'I', 'I', 'V64', 'I53', 'V6', 'vi53', 'ii64', 'V53', 'iv43', 'i', 'V53', 'I53', 'V7', 'iii53', 'vi7', 'v7', 'I64', 'V7', 'vi53', 'ii64', 'V53', 'IV53', '-VI', '-vi', '-vii', 'I', 'I53', 'vi53', 'IV', 'i']"
2,070606 (Hail the Comic Song).MID,C major,"['-', '-', '-', '-', 'vii42', 'vii43', 'iii53', 'vii42', 'vii53', 'I64', 'vii', 'vi', 'ii', 'vii53', 'I64', 'vii', 'vi', 'V7', 'I', 'IV43', 'I53', 'V42', 'IV', 'I53', 'II42', 'V7', 'I53', 'I53', 'V7', 'I64', 'V43', 'I53', 'V43', 'I64', 'vi', 'I53', 'vii42', 'vii65', 'I64', 'vii', 'vi', 'IV', 'vii53', 'I64', 'vii', 'vi', 'V7', 'I', 'IV43', 'I53', 'V42', 'IV', 'I53', 'II42', 'V7', 'I53', 'I53', 'V7', 'I64', 'V43', 'I53', 'V43', 'I64', 'vi', 'I53']"
3,Celine Dion - Fly 2.mid,E major,"['-', 'I', 'iii', 'IV', 'I64', 'I53', 'I', 'vi7', 'vi7', 'IV53', 'IV7', 'I', '-i', 'I', 'I53', 'vi53', 'vi7', 'IV', 'v42', 'ii7', 'v', 'I', 'I', 'vi7', 'vi7', 'IV', 'IV53', 'ii53', 'v7', 'iv', 'i', 'I64', 'vi', 'vi42', 'IV', 'vi', 'iv', 'i', 'I', 'vi64', 'vi7', 'IV', 'vi42', 'I']"
4,070102 (I'll Love You Always).MID,G major,"['-', 'I53', 'ii53', 'I53', 'iii', 'IV53', 'ii', 'V7', 'I64', 'V65', 'I64', 'I', 'ii', 'i', 'iii', 'IV', 'ii', 'V', 'I53', 'v7', 'I6', 'ii', 'I', 'ii', 'V', 'I53', 'ii43', 'v7', 'I53', 'vii64', 'iv64', '-VII53', 'V7', 'I64', 'I6', 'I64', 'V65', 'I64', 'I', 'ii', 'i', 'iii', 'IV', 'ii', 'V', 'I53', 'v7', 'I6', 'ii', 'I', 'ii', 'V', 'I53', 'ii43', 'v7', 'I53', 'vii64', 'iv64', '-VII53', 'V7', 'I64', 'I6', 'I64', 'V65', 'I64', 'I', 'ii', 'i', 'iii', 'IV', 'ii', 'V', 'I53', 'v7', 'I6', 'ii', 'I', 'ii', 'V', 'I53', 'ii43', 'v7', 'I53', 'vii64', 'iv64', '-VII53', 'V7', 'I64', 'I6', 'I64', 'V65', 'I64', 'I', 'ii', 'i', 'iii', 'IV', 'ii', 'V', 'I53', 'v7', 'I6', 'ii', 'I', 'ii', 'V', 'I53', 'ii43', 'v7', 'I53', 'vii64', 'iv64', '-VII53', 'V7', 'I64', 'I6']"
5,051230.MID,G major,"['-', 'I53', 'IV6', 'iv', 'VI6', 'ii', 'I53', 'I53', 'IV6', 'iv', 'VI6', 'ii64', 'I53', '-vii', 'iv64', 'VI53', 'I64', 'vii', 'vi53', 'V53', 'ii6', 'iii53', 'IV53', 'I', 'I53', 'I64', 'I64', 'I64', 'I53', '-vii', '-vii', 'iv53', '-VII53', 'vii7', 'vi65', 'I53', '-vi']"
6,050620B (The Children of the Night).MID,D major,"['-', 'I64', 'I53', 'I64', 'I64', 'iv', 'I64', 'iii', 'I64', 'iv', 'I53', 'I42', 'iv43', 'I53', 'I53', 'i', 'V7', 'v65', 'vi', 'ii53', 'I53', 'v42', 'I53', 'IV53', 'V65', 'ii42', 'IV43', 'V7', 'I53', 'IV', 'I53', 'I64', 'I64', 'iv', 'I64', 'iii', 'I64', 'iv', 'I53', 'I42', 'iv43', 'I53', 'I53', 'i', 'V7', 'v65', 'vi', 'ii53', 'I53', 'v42', 'I53', 'IV53', 'V65', 'ii42', 'IV43', 'V7', 'I53', 'IV', 'I53', 'I64', 'I64', 'iv', 'I64', 'iii', 'I64', 'iv', 'I53', 'I42', 'iv43', 'I53', 'I53', 'i', 'V7', 'v65', 'vi', 'ii53', 'I53', 'v42', 'I53', 'IV53', 'V65', 'ii42', 'IV43', 'V7', 'I53', 'IV', 'I53', 'I64', 'I64', 'iv', 'I64', 'iii', 'I64', 'iv', 'I53', 'I42', 'iv43', 'I53', 'I53', 'i', 'V7', 'v65', 'vi', 'ii53', 'I53', 'v42', 'I53', 'IV53', 'V65', 'ii42', 'IV43', 'V7', 'I53', 'IV', 'I53', 'I64', 'I53']"
7,009count.mid,G major,"['vi65', 'I53', 'V64', 'I53', 'I53', 'I6', 'V64', 'I53', 'i', 'I', 'v', 'V53', 'i', 'i', 'v', 'v42', 'i', 'I53', 'V64', 'I53', 'I53', 'I6', 'V64', 'I53', 'i', 'I', 'v', 'V53', 'i', 'i', 'v', 'v42', 'i', 'I53', 'V64', 'I53', 'I53', 'I6', 'V64', 'I53', 'i', 'IV', 'I65', 'IV', 'vi64', 'v', 'I53', 'V64', 'I53', 'I53', 'I6', 'V64', 'I53', 'i', 'I', 'v', 'V53', 'i', 'i', 'v', 'v42', 'i', 'I53', 'V64', 'I53', 'I53', 'I6', 'V64', 'I53', 'vi65', 'I53', 'V64', 'I53', 'I53', 'I6', 'V64', 'I53', 'i', 'i', 'i', 'i', 'i', 'iv', 'iv', 'iv', 'iv', 'I64', 'I64']"
8,070107 (Music of the Third Kind).MID,G major,"['-', 'vi65', 'vi65', 'vi65', 'vi65', 'i', 'i', 'I', 'i', 'i', 'i', 'I53', 'I', 'I', 'i', 'I53', 'i', 'I6', 'I7', 'i', 'I6', 'vi65', 'vi65', 'i', 'i', 'I', 'i', 'i', 'i', 'I53', 'I', 'I', 'i', 'I53', 'i', 'I6', 'I7', 'i', 'I6']"
9,060107-Sonnet 73.MID,F major,"['-', 'I', 'I53', 'I', 'V53', 'v', 'I53', 'I', 'V', 'v7', 'i', 'IV', 'V53', 'V53', 'V7', 'I53', 'IV53', 'I53', 'V53', 'I53', 'IV53', 'IV53', 'V7', 'V42', 'I53', 'I53', 'I53', 'vii64', 'V53', 'I53', 'IV53', 'II64', 'V53', 'I64']"
10,060222-Tribute to Mozart.MID,g minor,"['-', '-', 'i', 'i53', 'i53', 'i53', 'ii53', 'ii42', 'V65', 'V7', 'i', '#vii43', 'i6', '#vii43', 'III53', '#vi7', 'It6', 'v7', 'v7', 'v7', 'v7', 'v', 'i', 'i6', 'i53', 'iv43', 'iv7', '-VII65', 'vii43', 'III53', '-VII6', '-VI6', 'III64', '-VI', 'III6', 'IV', '-VII53', 'iii', '-VII53', 'iii', '-VII', 'III64', 'V43', '#i', '#iii6', 'II', '#vii', '#vii53', '#vii53', 'iv64', '#i43', '#iv43', '-vii', '#iv43', 'ii6', '#iii43', '#vii7', '-vi', '#vi6', 'IV', 'iv', '-VII', 'i42', 'III53', 'i', 'iv', '#vii', 'vi', '#vi', 'II53', 'II53', 'II53', 'II53', 'II53', 'vi42', 'i', 'iv53', 'iv53', 'iv', '#vii', '#vii43', 'III', 'III', 'III', 'V7', 'i64', 'i53', 'i']"
11,09carnivalcuckoo.mid,c# minor,"['i', '-i6', 'i', '-i53', '-iii', 'iii', 'i53', '-i6', 'i', '-i6', 'i', '-i6', '-iii', 'iii', 'i53', '-i6', '-iii', '-I6', '-iii', '-i', '-I6', '-I6', '-I6', '-I6', '-I6', '-I6', '-I6', '-I6', '-I6', 'III53', 'III53', '-I6', '-I', 'III53', 'iii53', '-i', 'iii53', '-i', '-i', '-i', '-i', '-i', 'III53']"
12,040 Feat Erica Baxter - Dreams (Lost Witness Remix).mid,d minor,"['v7', 'III65', 'v7', 'III65', 'v7', 'III65', 'v7', 'III65', 'iii', 'ii', 'i', 'ii42', 'v', 'v7', 'iv', 'vii43', 'iii', 'i65', 'i', 'iv43', 'v53', 'v', 'vii43', 'IV53', 'iii', 'i65', 'i', 'iv43', 'v53', 'v', 'vii43', 'IV53']"
13,040FeatEricaBaxter_-_DreamsLostWitnessRemix__SamCera_20120708165703.mid,d minor,"['v7', 'III65', 'v7', 'III65', 'v7', 'III65', 'v7', 'III65', 'iii', 'ii', 'i', 'ii42', 'v', 'v7', 'iv', 'vii43', 'iii', 'i65', 'i', 'iv43', 'v53', 'v', 'vii43', 'IV53', 'iii', 'i65', 'i', 'iv43', 'v53', 'v', 'vii43', 'IV53']"
